order_id,order_date,ship_mode,processing_mode,rdy2ship_date,pickup_date,customer_id,customer_name,on_truck_scan_date,arrival_scan_date,origin_channel,country/region,city,state,postal_code,region,categories,sub_categories,product_ids,quantity_ttl,sales_ttl,discount_ttl,profit_ttl,order_to_truck_time,processing_time,waiting_time
CA-2019-108987,2019-09-08,Second Class,Standard Processing,,,AG-10675,Anna Gayman,2019-09-13,,Email,United States,Houston,Texas,77036.0,Central,"Special Projects Muesil, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Steel Cut, Steel Cut, With Fruit","TEC-AC-10000158, OFF-ST-10001580, OFF-ST-10000934, FUR-BO-10004834",13,2620.9376,0.92,-345.6218,5.0,,
CA-2020-117457,2020-12-08,Standard Class,Standard Processing,,,KH-16510,Keith Herrera,2020-12-16,,Email,United States,San Francisco,California,94110.0,West,"Special Projects Muesil, Power Muesli, Power Muesli, Power Muesli, Power Muesli, Special Projects Muesil, Toasted Muesli, Toasted Muesli, Toasted Muesli","Gluten Free, No Taste All Power, Nuts and more, Nuts and more, Nuts and more, Organic, Sweetened, With Fruit, With Nuts","TEC-AC-10000158, OFF-LA-10003766, OFF-PA-10003724, OFF-PA-10002893, OFF-PA-10001970, TEC-CO-10004115, FUR-TA-10002041, FUR-BO-10001972, FUR-CH-10003956",46,3955.5070000000005,0.75,431.81620000000004,8.0,,
CA-2017-142048,2017-06-22,First Class,,,,JE-15745,Joel Eaton,,,Email,United States,Louisville,Colorado,80027.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10004114,6,196.752,0.2,56.5662,,,
US-2019-123750,2019-04-15,Standard Class,Standard Processing,,,RB-19795,Ross Baird,2019-04-24,,Facebook,United States,Gastonia,North Carolina,28052.0,South,"Special Projects Muesil, Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Gluten Free, Steel Cut, Super Fibre Boost","TEC-AC-10004659, TEC-AC-10004659, OFF-ST-10000617, OFF-BI-10004584",16,895.06,1.3,-14.743599999999986,9.0,,
US-2017-150574,2017-12-19,Standard Class,,,,MK-18160,Mike Kennedy,,,Email,United States,Jacksonville,Florida,32216.0,South,"Special Projects Muesil, Power Muesli","Gluten Free, Super Fibre Boost","TEC-AC-10002600, OFF-BI-10000773",7,252.61200000000002,0.8999999999999999,-22.2742,,,
CA-2019-100153,2019-12-13,Standard Class,Standard Processing,,,KH-16630,Ken Heidel,2019-12-18,,Sales,United States,Norman,Oklahoma,73071.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001772,4,63.88,0.0,24.9132,5.0,,
CA-2018-109638,2018-12-15,Standard Class,,,,JH-15985,Joseph Holt,,,Email,United States,Seattle,Washington,98115.0,West,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Mega Protein, Super Fibre Boost","TEC-AC-10004571, OFF-AP-10002472, OFF-BI-10001098",16,1055.142,0.2,432.9348,,,
CA-2017-134677,2017-10-06,Standard Class,,,,XP-21865,Xylona Preis,,,Email,United States,San Diego,California,92024.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001445,3,9.09,0.0,1.9089,,,
CA-2017-127691,2017-07-22,Standard Class,,,,EM-14065,Erin Mull,,,Email,United States,New York City,New York,10024.0,East,"Special Projects Muesil, Power Muesli","Gluten Free, Super Mega Protein","TEC-AC-10002567, OFF-AR-10002053",4,165.94,0.0,59.261599999999994,,,
CA-2017-133753,2017-06-09,Second Class,,,,CW-11905,Carl Weiss,,,Facebook,United States,Huntsville,Texas,77340.0,Central,"Special Projects Muesil, Special Projects Muesil, Power Muesli","Gluten Free, Only Oats, Super Mega Protein","TEC-AC-10000303, TEC-PH-10000376, OFF-AR-10001953",5,142.344,0.6000000000000001,17.154,,,
CA-2019-169166,2019-05-09,Standard Class,Standard Processing,,,SS-20590,Sonia Sunley,2019-05-15,2019-05-20,Email,United States,Seattle,Washington,98115.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10000991,2,93.98,0.0,13.1572,6.0,,
CA-2020-135307,2020-11-26,First Class,Express,2020-11-27,2020-11-27,LS-17245,Lynn Smith,2020-11-27,,Email,United States,Gladstone,Missouri,64118.0,Central,"Special Projects Muesil, Toasted Muesli","Gluten Free, With Fruit and Nuts","TEC-AC-10002399, FUR-FU-10001290",5,164.34,0.0,52.5888,1.0,1.0,0.0
CA-2018-157812,2018-03-22,Standard Class,,,,DB-13210,Dean Braden,,,Email,United States,Houston,Texas,77041.0,Central,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Steel Cut, Super Fibre Boost","TEC-AC-10000171, OFF-ST-10000736, OFF-BI-10000285",12,162.072,1.2000000000000002,-41.793899999999994,,,
US-2019-139486,2019-05-21,First Class,Express,,,LH-17155,Logan Haushalter,2019-05-24,,Email,United States,Los Angeles,California,90032.0,West,"Special Projects Muesil, Special Projects Muesil","Gluten Free, Only Oats","TEC-AC-10003832, TEC-PH-10003555",5,121.436,0.2,14.751999999999999,3.0,,
CA-2017-140795,2017-02-01,First Class,,,,BD-11500,Bradley Drucker,,,Email,United States,Green Bay,Wisconsin,54302.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10001432,6,468.9,0.0,206.316,,,
CA-2017-103849,2017-05-11,Standard Class,,,,PG-18895,Paul Gonzalez,,,Email,United States,Fort Worth,Texas,76106.0,Central,"Special Projects Muesil, Special Projects Muesil, Toasted Muesli","Gluten Free, Only Oats, With Fruit and Nuts","TEC-AC-10001465, TEC-PH-10002597, FUR-FU-10000723",7,225.016,1.0,-70.7293,,,
CA-2017-135405,2017-01-09,Standard Class,,,,MS-17830,Melanie Seite,,,Email,United States,Laredo,Texas,78041.0,Central,"Special Projects Muesil, Power Muesli","Gluten Free, Super Mega Protein","TEC-AC-10001266, OFF-AR-10004078",5,40.544,0.4,10.918,,,
US-2019-135720,2019-12-11,Second Class,Standard Processing,,,FM-14380,Fred McMath,2019-12-16,,Email,United States,Aurora,Colorado,80013.0,West,"Special Projects Muesil, Special Projects Muesil, Power Muesli","Gluten Free, Only Oats, Steel Cut","TEC-AC-10001267, TEC-PH-10002103, OFF-ST-10001963",12,663.952,0.6000000000000001,8.307699999999997,5.0,,
CA-2020-144694,2020-09-24,Second Class,Standard Processing,,,BD-11605,Brian Dahlen,2020-09-30,,Email,United States,Miami,Florida,33180.0,South,"Special Projects Muesil, Power Muesli","Gluten Free, No Taste All Power","TEC-AC-10002857, OFF-LA-10003930",6,253.82399999999998,0.4,87.9882,6.0,,
CA-2020-106103,2020-06-10,Standard Class,Standard Processing,,,SC-20305,Sean Christensen,2020-06-17,,Email,United States,Rochester Hills,Michigan,48307.0,Central,Special Projects Muesil,Gluten Free,TEC-AC-10003832,4,132.52,0.0,54.3332,7.0,,
CA-2019-160745,2019-12-11,Second Class,Standard Processing,,,AR-10825,Anthony Rawles,2019-12-18,,Sales,United States,Vancouver,Washington,98661.0,West,"Special Projects Muesil, Special Projects Muesil, Toasted Muesli","Gluten Free, Only Oats, With Fruit and Nuts","TEC-AC-10001142, TEC-PH-10003273, FUR-FU-10001935",11,633.1759999999999,0.2,60.3462,7.0,,
CA-2020-140844,2020-06-19,Standard Class,Standard Processing,,,AR-10405,Allen Rosenblatt,2020-06-24,,Sales,United States,New York City,New York,10035.0,East,"Special Projects Muesil, Power Muesli","Gluten Free, Nuts and more","TEC-AC-10001101, OFF-PA-10003892",10,200.94,0.0,56.2874,5.0,,
CA-2020-130351,2020-12-05,First Class,Express,,,RB-19570,Rob Beeghly,2020-12-11,,Email,United States,Columbus,Indiana,47201.0,Central,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Mega Protein, Nuts and more","TEC-AC-10003832, OFF-AP-10004532, OFF-PA-10002137",11,199.73,0.0,74.8437,6.0,,
US-2020-119438,2020-03-18,Standard Class,Standard Processing,,,CD-11980,Carol Darley,2020-03-25,,Email,United States,Tyler,Texas,75701.0,Central,"Special Projects Muesil, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Mega Protein, Super Fibre Boost, With Fruit and Nuts","TEC-AC-10003614, OFF-AP-10000804, OFF-BI-10004632, FUR-FU-10003553",12,296.022,2.4,-364.3734,7.0,,
CA-2017-157784,2017-07-05,First Class,,,,MC-17845,Michael Chen,,,Email,United States,Jackson,Mississippi,39212.0,South,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, No Taste All Power, Nuts and more","TEC-AC-10003911, OFF-LA-10001934, OFF-PA-10000304",8,514.03,0.0,179.39239999999998,,,
CA-2018-131534,2018-03-28,Standard Class,,,,AB-10165,Alan Barnes,,,Email,United States,Los Angeles,California,90036.0,West,"Special Projects Muesil, Power Muesli","Gluten Free, Nuts and more","TEC-AC-10002253, OFF-PA-10000743",6,199.64000000000001,0.0,40.968,,,
CA-2017-138527,2017-09-12,Standard Class,,,,BN-11470,Brad Norvell,,,Sales,United States,Cary,North Carolina,27511.0,South,"Special Projects Muesil, Power Muesli, Power Muesli","Gluten Free, Mega Protein, Nuts and more","TEC-AC-10002399, OFF-AP-10001469, OFF-PA-10001800",8,192.424,0.6000000000000001,24.6807,,,
CA-2017-112158,2017-12-02,First Class,,,,DP-13165,David Philippe,,,Email,United States,New York City,New York,10035.0,East,"Special Projects Muesil, Power Muesli, Toasted Muesli","Gluten Free, Super Fibre Boost, With Fruit","TEC-AC-10003628, OFF-BI-10000050, FUR-BO-10003272",17,1050.6,0.4,-41.939599999999984,,,
US-2020-100048,2020-05-19,Standard Class,Standard Processing,,,RS-19765,Roland Schwarz,2020-05-27,,Sales,United States,Mount Vernon,New York,10550.0,East,"Special Projects Muesil, Power Muesli, Special Projects Muesil","Gluten Free, Mega Protein, Only Oats","TEC-AC-10001606, OFF-AP-10001154, TEC-PH-10003012",11,889.29,0.0,313.0254,8.0,,
CA-2020-131954,2020-01-21,Standard Class,Standard Processing,,,DS-13030,Darrin Sayre,2020-01-29,2020-02-03,Facebook,United States,Seattle,Washington,98115.0,West,"Special Projects Muesil, Power Muesli, Power Muesli, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Steel Cut, Super Fibre Boost, Super Fibre Boost, Super Fibre Boost, With Fruit","TEC-AC-10003610, OFF-ST-10000736, OFF-BI-10003982, OFF-BI-10003291, OFF-BI-10000138, FUR-BO-10001619",22,654.242,0.6000000000000001,164.42659999999998,8.0,,
CA-2017-132500,2017-09-08,Standard Class,,,,GZ-14470,Gary Zandusky,,,Email,United States,San Francisco,California,94110.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10001383,2,49.98,0.0,8.4966,,,
CA-2017-106803,2017-12-29,Standard Class,,,,DC-13285,Debra Catini,,,Email,United States,Cottage Grove,Minnesota,55016.0,Central,"Special Projects Muesil, Power Muesli","Gluten Free, Steel Cut","TEC-AC-10001267, OFF-ST-10002444",6,144.35999999999999,0.0,54.796800000000005,,,
CA-2017-162775,2017-01-13,Second Class,,,,CS-12250,Chris Selesnick,,,Sales,United States,Bossier City,Louisiana,71111.0,South,"Special Projects Muesil, Power Muesli, Power Muesli, Power Muesli, Power Muesli","Gluten Free, Power Clean Fibre Boost, Power Clean Fibre Boost, Steel Cut, Super Fibre Boost","TEC-AC-10003174, OFF-EN-10001990, OFF-EN-10001532, OFF-ST-10000025, OFF-BI-10004187",20,1287.26,0.0,326.5672,,,
US-2018-157014,2018-10-03,Second Class,,,,BM-11785,Bryan Mills,,,Email,United States,Columbus,Ohio,43229.0,East,"Special Projects Muesil, Special Projects Muesil, Power Muesli, Toasted Muesli","Gluten Free, Gluten Free, Super Fibre Boost, With Fruit","TEC-AC-10002167, TEC-AC-10000057, OFF-BI-10001098, FUR-BO-10004409",10,139.544,1.6,-40.1648,,,
CA-2018-140921,2018-02-03,First Class,,,,AA-10375,Allen Armold,,,Email,United States,Omaha,Nebraska,68104.0,Central,"Special Projects Muesil, Toasted Muesli","Gluten Free, With Fruit and Nuts","TEC-AC-10004901, FUR-FU-10003347",5,178.37,0.0,62.0658,,,
CA-2017-151995,2017-10-13,First Class,,,,ZC-21910,Zuschuss Carroll,,,Email,United States,Edmonds,Washington,98026.0,West,"Special Projects Muesil, Power Muesli, Power Muesli, Toasted Muesli","Gluten Free, Mega Protein, Super Mega Protein, Sweetened","TEC-AC-10001101, OFF-AP-10000240, OFF-AR-10003190, FUR-TA-10002903",15,1549.77,0.0,379.4924,,,
CA-2020-143686,2020-05-14,First Class,Express,,,PJ-19015,Pauline Johnson,2020-05-15,,Email,United States,Santa Ana,California,92704.0,West,"Special Projects Muesil, Toasted Muesli","Gluten Free, With Fruit and Nuts","TEC-AC-10001838, FUR-FU-10000794",9,1418.21,0.0,608.1851,1.0,,
CA-2020-101434,2020-06-20,Standard Class,Standard Processing,,,TR-21325,Toby Ritter,2020-06-24,,Email,United States,Belleville,New Jersey,7109.0,East,"Special Projects Muesil, Power Muesli","Gluten Free, No Taste All Power","TEC-AC-10002402, OFF-LA-10003223",5,249.79,0.0,76.8028,4.0,,
US-2017-102071,2017-05-09,Standard Class,,,,PG-18820,Patrick Gardner,,,Email,United States,San Francisco,California,94110.0,West,"Special Projects Muesil, Special Projects Muesil","Gluten Free, Gluten Free","TEC-AC-10003441, TEC-AC-10000109",7,235.76999999999998,0.0,44.3808,,,
CA-2017-107755,2017-02-07,Standard Class,,,,CK-12760,Cyma Kinney,,,Sales,United States,Linden,New Jersey,7036.0,East,Special Projects Muesil,Gluten Free,TEC-AC-10000710,7,115.36,0.0,49.6048,,,
CA-2019-134474,2019-01-05,Second Class,Standard Processing,,,AJ-10795,Anthony Johnson,2019-01-11,,Sales,United States,Jacksonville,Florida,32216.0,South,"Special Projects Muesil, Special Projects Muesil, Power Muesli","Gluten Free, Only Oats, Super Mega Protein","TEC-AC-10001714, TEC-PH-10002923, OFF-AR-10003958",10,255.904,0.6000000000000001,46.4568,6.0,,
CA-2019-116736,2019-01-17,Standard Class,Standard Processing,,,CC-12430,Chuck Clark,2019-01-23,,Facebook,United States,Concord,New Hampshire,3301.0,East,"Special Projects Muesil, Special Projects Muesil, Toasted Muesli","Gluten Free, Gluten Free, With Fruit and Nuts","TEC-AC-10003628, TEC-AC-10002049, FUR-FU-10004017",7,724.55,0.0,144.6682,6.0,,
CA-2020-132934,2020-06-20,Standard Class,Standard Processing,,,JE-15475,Jeremy Ellison,2020-06-24,,Email,United States,New Rochelle,New York,10801.0,East,"Special Projects Muesil, Power Muesli","Gluten Free, Super Fibre Boost","TEC-AC-10000927, OFF-BI-10001098",8,201.262,0.2,33.5956,4.0,,
CA-2020-137596,2020-09-02,Standard Class,Standard Processing,,,BE-11335,Bill Eplett,2020-09-09,,Facebook,United States,Jackson,Michigan,49201.0,Central,"Special Projects Muesil, Special Projects Muesil, Power Muesli","Gluten Free, Only Oats, Steel Cut","TEC-AC-10004666, TEC-PH-10001494, OFF-ST-10003816",13,3480.96,0.0,1234.3688,7.0,,
CA-2020-102519,2020-11-27,First Class,Express,,,BM-11650,Brian Moss,2020-11-30,,Sales,United States,Milwaukee,Wisconsin,53209.0,Central,"Special Projects Muesil, Toasted Muesli","Gluten Free, With Fruit and Nuts","TEC-AC-10001772, FUR-FU-10004091",10,190.67,0.0,75.3001,3.0,,
CA-2018-111164,2018-04-11,Standard Class,,,,SE-20110,Sanjit Engle,,,Email,United States,New York City,New York,10009.0,East,"Special Projects Muesil, Power Muesli, Special Projects Muesil","Gluten Free, Mega Protein, Only Oats","TEC-AC-10002473, OFF-AP-10004487, TEC-PH-10004531",9,513.73,0.0,159.3106,,,
CA-2017-132962,2017-09-13,First Class,,,,JM-15535,Jessica Myrick,,,Email,United States,Philadelphia,Pennsylvania,19143.0,East,"Special Projects Muesil, Power Muesli","Gluten Free, Nuts and more","TEC-AC-10004353, OFF-PA-10003543",8,267.552,0.4,58.993199999999995,,,
US-2020-111745,2020-11-05,First Class,Express,,,RA-19885,Ruben Ausman,2020-11-06,,Sales,United States,Farmington,New Mexico,87401.0,West,Special Projects Muesil,Gluten Free,TEC-AC-10003911,1,159.99,0.0,54.3966,1.0,,
CA-2018-124891,2018-07-31,First Class,,,,RH-19495,Rick Hansen,,,Email,United States,New York City,New York,10024.0,East,"Special Projects Muesil, Power Muesli, Toasted Muesli","Gluten Free, Nuts and more, Sweetened","TEC-AC-10003033, OFF-PA-10004621, FUR-TA-10002903",17,3419.8720000000003,0.4,480.6405,,,
US-2018-126214,2018-12-21,Second Class,,,,JS-15880,John Stevenson,,,Email,United States,Seattle,Washington,98103.0,West,"Special Projects Muesil, Toasted Muesli","Gluten Free, Sweetened","TEC-AC-10003198, FUR-TA-10003748",14,1717.9699999999998,0.0,392.8934,,,
CA-2019-102981,2019-09-06,Second Class,Standard Processing,2019-09-09,2019-09-11,MO-17500,Mary O'Rourke,2019-09-11,2019-09-16,Email,United States,New York City,New York,10035.0,East,"Special Projects Muesil, Toasted Muesli","Gluten Free, With Fruit","TEC-AC-10004761, FUR-BO-10001811",5,754.212,0.2,101.445,5.0,3.0,2.0
CA-2017-139192,2017-05-27,Second Class,,,,LC-16885,Lena Creighton,,,Email,United States,San Francisco,California,94109.0,West,"Special Projects Muesil, Special Projects Muesil","Gluten Free, Only Oats","TEC-AC-10001606, TEC-PH-10000486",13,1213.494,0.2,163.2654,,,
